# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
755 324 0.0 0.0 -0.801 0.582 184.360 0.0
755 325 0.0 0.0 -0.801 0.582 182.920 0.0
756 324 0.0 0.0 -0.833 0.605 182.847 0.0
754 325 0.0 0.0 -0.785 0.570 181.266 0.0
756 323 0.0 0.0 -0.849 0.617 181.064 0.0
754 324 0.0 0.0 -0.785 0.570 179.951 0.0
755 323 0.0 0.0 -0.833 0.605 179.545 0.0
757 323 0.0 0.0 -0.866 0.629 178.961 0.0
756 325 0.0 0.0 -0.801 0.582 178.736 0.0
757 324 0.0 0.0 -0.849 0.617 177.412 0.0
753 325 0.0 0.0 -0.752 0.547 176.052 0.0
754 326 0.0 0.0 -0.752 0.547 175.981 0.0
753 326 0.0 0.0 -0.736 0.535 175.312 0.0
755 326 0.0 0.0 -0.785 0.570 174.202 0.0
757 322 0.0 0.0 -0.882 0.641 173.465 0.0
754 323 0.0 0.0 -0.801 0.582 172.932 0.0
756 322 0.0 0.0 -0.866 0.629 172.857 0.0
753 324 0.0 0.0 -0.769 0.558 172.483 0.0
758 323 0.0 0.0 -0.882 0.641 171.999 0.0
755 322 0.0 0.0 -0.833 0.605 169.511 0.0
